PaymentSchedKey,SaleKey,DueDate,AmountDueAED,AmountPaidAED,PaidDate,PaymentStatus
77,1565,2021-03-10T00:00:00,658862,658862,2021-03-10,Paid
78,1221,2021-03-01T00:00:00,83398,83398,2021-03-01,Paid
79,1263,2021-03-01T00:00:00,264583,264583,2021-03-01,Paid
80,1243,2021-03-01T00:00:00,67837,67837,2021-03-01,Paid
81,1020,2021-03-21T00:00:00,40524,40524,2021-03-21,Paid
82,1364,2021-03-01T00:00:00,142051,142051,2021-03-01,Paid
83,1493,2021-03-01T00:00:00,157869,0,,Due
84,1441,2021-03-01T00:00:00,103583,103583,2021-03-01,Paid
85,1519,2021-03-01T00:00:00,131050,131050,2021-03-01,Paid
86,1679,2021-03-01T00:00:00,53725,0,,Due
87,1229,2021-03-01T00:00:00,1174533,1174533,2021-03-01,Paid
88,1472,2021-03-01T00:00:00,71592,71592,2021-03-01,Paid
89,1422,2021-03-01T00:00:00,565781,565781,2021-03-01,Paid
90,1483,2021-03-01T00:00:00,118162,118162,2021-03-01,Paid
91,1225,2021-03-01T00:00:00,129342,129342,2021-03-01,Paid
92,1642,2021-03-01T00:00:00,29696,29696,2021-03-01,Paid
93,1401,2021-03-01T00:00:00,235942,235942,2021-03-01,Paid
94,1648,2021-03-01T00:00:00,52233,52233,2021-03-01,Paid
95,1220,2021-03-01T00:00:00,192592,192592,2021-03-01,Paid
96,1597,2021-03-01T00:00:00,530812,530812,2021-03-01,Paid
97,1608,2021-03-01T00:00:00,40896,40896,2021-03-01,Paid
98,1639,2021-03-01T00:00:00,99050,0,,Due
99,1561,2021-03-01T00:00:00,50860,50860,2021-03-01,Paid
100,639,2021-03-02T00:00:00,30104,30104,2021-03-02,Paid
101,1706,2021-03-01T00:00:00,774604,774604,2021-03-01,Paid
102,1692,2021-03-21T00:00:00,40829,40829,2021-03-21,Paid
103,1487,2021-03-01T00:00:00,130705,130705,2021-03-01,Paid
104,1320,2021-03-01T00:00:00,268820,268820,2021-03-01,Paid
105,1562,2021-03-01T00:00:00,36728,36728,2021-03-01,Paid
106,1453,2021-03-01T00:00:00,40155,40155,2021-03-01,Paid
107,1579,2021-03-01T00:00:00,41401,41401,2021-03-01,Paid
108,1559,2021-03-01T00:00:00,24074,24074,2021-03-01,Paid
109,1305,2021-03-01T00:00:00,297785,297785,2021-03-01,Paid
110,1312,2021-03-01T00:00:00,180317,180317,2021-03-01,Paid
111,1496,2021-03-01T00:00:00,60827,60827,2021-03-01,Paid
112,1584,2021-03-01T00:00:00,248442,248442,2021-03-01,Paid
113,1410,2021-03-01T00:00:00,102520,102520,2021-03-01,Paid
114,1240,2021-03-01T00:00:00,1189217,1189217,2021-03-01,Paid
115,1638,2021-03-01T00:00:00,49197,49197,2021-03-01,Paid
116,1420,2021-03-01T00:00:00,70012,70012,2021-03-01,Paid
117,1514,2021-03-01T00:00:00,177328,177328,2021-03-01,Paid
118,1377,2021-03-01T00:00:00,607795,607795,2021-03-01,Paid
119,1208,2021-03-01T00:00:00,144786,144786,2021-03-01,Paid
120,1325,2021-03-01T00:00:00,340268,340268,2021-03-01,Paid
121,1443,2021-03-01T00:00:00,53379,53379,2021-03-01,Paid
122,1593,2021-03-01T00:00:00,197882,197882,2021-03-01,Paid
123,1367,2021-03-01T00:00:00,1850902,1850902,2021-03-01,Paid
124,1267,2021-04-01T00:00:00,56197,56197,2021-04-01,Paid
125,1234,2021-04-01T00:00:00,128407,128407,2021-04-01,Paid
126,1445,2021-04-01T00:00:00,67047,67047,2021-04-01,Paid
127,1482,2021-04-01T00:00:00,39257,39257,2021-04-01,Paid
128,1630,2021-04-01T00:00:00,111470,111470,2021-04-01,Paid
129,1280,2021-04-01T00:00:00,483383,483383,2021-04-01,Paid
130,1544,2021-04-01T00:00:00,106572,106572,2021-04-01,Paid
131,1514,2021-04-01T00:00:00,177328,177328,2021-04-01,Paid
132,1226,2021-04-01T00:00:00,1305794,1305794,2021-04-01,Paid
133,1380,2021-04-01T00:00:00,384426,384426,2021-04-01,Paid
134,1549,2021-04-01T00:00:00,705315,705315,2021-04-01,Paid
135,1601,2021-04-01T00:00:00,288289,288289,2021-04-01,Paid
136,1519,2021-04-01T00:00:00,131050,131050,2021-04-01,Paid
137,1592,2021-04-01T00:00:00,114843,114843,2021-04-01,Paid
138,1557,2021-04-01T00:00:00,456568,456568,2021-04-01,Paid
139,1468,2021-04-01T00:00:00,72460,72460,2021-04-01,Paid
140,1401,2021-04-01T00:00:00,235942,235942,2021-04-01,Paid
141,1108,2021-04-15T00:00:00,67534,67534,2021-04-15,Paid
142,1512,2021-04-01T00:00:00,207706,207706,2021-04-01,Paid
143,1208,2021-04-01T00:00:00,144786,144786,2021-04-01,Paid
144,1564,2021-04-01T00:00:00,61210,61210,2021-04-01,Paid
145,1579,2021-04-01T00:00:00,41401,41401,2021-04-01,Paid
146,749,2021-04-03T00:00:00,38833,38833,2021-04-03,Paid
147,1472,2021-04-01T00:00:00,71592,71592,2021-04-01,Paid
148,1476,2021-04-01T00:00:00,117564,117564,2021-04-01,Paid
149,1291,2021-04-01T00:00:00,49214,49214,2021-04-01,Paid
150,1697,2021-04-01T00:00:00,54943,54943,2021-04-01,Paid
151,1238,2021-04-01T00:00:00,189071,189071,2021-04-01,Paid
152,1591,2021-04-01T00:00:00,74047,74047,2021-04-01,Paid
153,1399,2021-04-01T00:00:00,308650,308650,2021-04-01,Paid
154,1466,2021-04-01T00:00:00,68848,68848,2021-04-01,Paid
155,1596,2021-04-01T00:00:00,80558,80558,2021-04-01,Paid
156,449,2021-04-25T00:00:00,90870,90870,2021-04-25,Paid
157,1312,2021-04-01T00:00:00,180317,180317,2021-04-01,Paid
158,420,2021-04-23T00:00:00,40595,40595,2021-04-23,Paid
159,1658,2021-04-01T00:00:00,94730,94730,2021-04-01,Paid
160,1261,2021-04-01T00:00:00,373536,373536,2021-04-01,Paid
161,1355,2021-04-01T00:00:00,310609,310609,2021-04-01,Paid
162,1332,2021-04-01T00:00:00,1400269,1400269,2021-04-01,Paid
163,1558,2021-04-01T00:00:00,75502,75502,2021-04-01,Paid
164,1243,2021-04-01T00:00:00,67837,67837,2021-04-01,Paid
165,1368,2021-04-01T00:00:00,185096,185096,2021-04-01,Paid
166,1231,2021-04-01T00:00:00,122583,122583,2021-04-01,Paid
167,1462,2021-04-01T00:00:00,49587,49587,2021-04-01,Paid
168,1737,2021-04-04T00:00:00,12689,12689,2021-04-04,Paid
169,1373,2021-04-01T00:00:00,176867,176867,2021-04-01,Paid
170,1660,2021-04-01T00:00:00,57005,57005,2021-04-01,Paid
171,1639,2021-04-01T00:00:00,99050,99050,2021-04-01,Paid
172,1680,2021-04-01T00:00:00,35962,35962,2021-04-01,Paid
173,1290,2021-04-01T00:00:00,86659,86659,2021-04-01,Paid
174,1706,2021-04-01T00:00:00,774604,774604,2021-04-01,Paid
175,1433,2021-04-01T00:00:00,64232,64232,2021-04-01,Paid
176,1662,2021-04-01T00:00:00,40757,0,,Due
177,1593,2021-04-01T00:00:00,197882,0,,Due
178,1127,2021-04-27T00:00:00,50470,0,,Due
179,611,2021-04-18T00:00:00,115639,115639,2021-04-18,Paid
180,1521,2021-04-01T00:00:00,46167,46167,2021-04-01,Paid
181,1420,2021-04-01T00:00:00,70012,70012,2021-04-01,Paid
182,1559,2021-04-01T00:00:00,24074,0,,Due
183,1282,2021-04-01T00:00:00,98601,0,,Due
184,1577,2021-04-01T00:00:00,112225,0,,Due
185,1654,2021-04-01T00:00:00,103722,103722,2021-04-01,Paid
186,1335,2021-04-01T00:00:00,239814,239814,2021-04-01,Paid
187,1525,2021-04-01T00:00:00,50665,50665,2021-04-01,Paid
188,1494,2021-04-01T00:00:00,548363,548363,2021-04-01,Paid
189,1641,2021-04-01T00:00:00,61359,0,,Due
190,1158,2021-04-01T00:00:00,35537,0,,Due
191,1380,2021-05-01T00:00:00,384426,384426,2021-05-01,Paid
192,1671,2021-05-31T00:00:00,523600,523600,2021-05-31,Paid
193,1276,2021-05-01T00:00:00,498449,498449,2021-05-01,Paid
194,1591,2021-05-01T00:00:00,74047,74047,2021-05-01,Paid
195,1665,2021-05-01T00:00:00,62838,62838,2021-05-01,Paid
196,1480,2021-05-01T00:00:00,70392,70392,2021-05-01,Paid
197,1302,2021-05-16T00:00:00,308523,308523,2021-05-16,Paid
198,1296,2021-05-01T00:00:00,222316,222316,2021-05-01,Paid
199,1393,2021-05-01T00:00:00,684199,684199,2021-05-01,Paid
200,1298,2021-05-01T00:00:00,629427,629427,2021-05-01,Paid
201,1577,2021-05-01T00:00:00,112225,112225,2021-05-01,Paid
202,1356,2021-05-01T00:00:00,116464,116464,2021-05-01,Paid
203,460,2021-05-07T00:00:00,11674,11674,2021-05-07,Paid
204,1362,2021-05-01T00:00:00,124710,124710,2021-05-01,Paid
205,1289,2021-05-01T00:00:00,157104,157104,2021-05-01,Paid
206,1523,2021-05-01T00:00:00,84643,84643,2021-05-01,Paid
207,839,2021-05-11T00:00:00,285032,285032,2021-05-11,Paid
208,1228,2021-05-01T00:00:00,199047,0,,Due
209,684,2021-05-10T00:00:00,32795,32795,2021-05-10,Paid
210,1346,2021-05-01T00:00:00,317897,317897,2021-05-01,Paid
211,1283,2021-05-01T00:00:00,352346,352346,2021-05-01,Paid
212,1270,2021-05-12T00:00:00,142074,142074,2021-05-12,Paid
213,1171,2021-05-10T00:00:00,72520,72520,2021-05-10,Paid
214,1234,2021-05-01T00:00:00,128407,128407,2021-05-01,Paid
215,1554,2021-05-01T00:00:00,82486,82486,2021-05-01,Paid
216,1453,2021-05-01T00:00:00,40155,40155,2021-05-01,Paid
217,1272,2021-05-01T00:00:00,1056829,1056829,2021-05-01,Paid
218,1468,2021-05-01T00:00:00,72460,72460,2021-05-01,Paid
219,1573,2021-05-01T00:00:00,39410,39410,2021-05-01,Paid
220,1661,2021-05-01T00:00:00,289623,289623,2021-05-01,Paid
221,1445,2021-05-01T00:00:00,67047,67047,2021-05-01,Paid
222,1252,2021-05-11T00:00:00,450449,450449,2021-05-11,Paid
223,1639,2021-05-01T00:00:00,99050,99050,2021-05-01,Paid
224,1660,2021-05-01T00:00:00,57005,57005,2021-05-01,Paid
225,1290,2021-05-01T00:00:00,86659,0,,Due
226,1654,2021-05-01T00:00:00,103722,103722,2021-05-01,Paid
227,1390,2021-05-01T00:00:00,197456,197456,2021-05-01,Paid
228,1551,2021-05-16T00:00:00,161751,161751,2021-05-16,Paid
229,1546,2021-05-01T00:00:00,125069,0,,Due
230,1594,2021-05-01T00:00:00,45207,0,,Due
231,1433,2021-05-01T00:00:00,64232,64232,2021-05-01,Paid
232,1615,2021-05-01T00:00:00,94370,94370,2021-05-01,Paid
233,1305,2021-05-01T00:00:00,297785,297785,2021-05-01,Paid
234,508,2021-05-29T00:00:00,55298,55298,2021-05-29,Paid
235,1209,2021-05-01T00:00:00,241634,241634,2021-05-01,Paid
236,1225,2021-05-01T00:00:00,129342,129342,2021-05-01,Paid
237,1585,2021-05-01T00:00:00,80340,80340,2021-05-01,Paid
238,1584,2021-05-01T00:00:00,248442,248442,2021-05-01,Paid
239,1208,2021-05-01T00:00:00,144786,144786,2021-05-01,Paid
240,1306,2021-05-01T00:00:00,256908,0,,Due
241,1558,2021-05-01T00:00:00,75502,75502,2021-05-01,Paid
242,1261,2021-05-01T00:00:00,373536,373536,2021-05-01,Paid
243,1662,2021-05-01T00:00:00,40757,40757,2021-05-01,Paid
244,1227,2021-05-01T00:00:00,176839,176839,2021-05-01,Paid
245,1592,2021-05-01T00:00:00,114843,0,,Due
246,1608,2021-05-01T00:00:00,40896,40896,2021-05-01,Paid
247,1697,2021-05-01T00:00:00,54943,54943,2021-05-01,Paid
248,1443,2021-05-01T00:00:00,53379,53379,2021-05-01,Paid
249,1427,2021-05-01T00:00:00,116341,116341,2021-05-01,Paid
250,1314,2021-05-01T00:00:00,1566759,1566759,2021-05-01,Paid
251,387,2021-05-22T00:00:00,64171,64171,2021-05-22,Paid
252,1341,2021-05-01T00:00:00,287497,287497,2021-05-01,Paid
253,379,2021-05-13T00:00:00,77192,77192,2021-05-13,Paid
254,1540,2021-05-01T00:00:00,420922,420922,2021-05-01,Paid
255,1216,2021-05-01T00:00:00,69713,69713,2021-05-01,Paid
256,1658,2021-05-01T00:00:00,94730,94730,2021-05-01,Paid
257,1381,2021-05-01T00:00:00,226364,226364,2021-05-01,Paid
258,1457,2021-05-01T00:00:00,122943,122943,2021-05-01,Paid
259,1496,2021-05-01T00:00:00,60827,60827,2021-05-01,Paid
260,1204,2021-05-01T00:00:00,143628,143628,2021-05-01,Paid
261,1584,2021-06-01T00:00:00,248442,248442,2021-06-01,Paid
262,1522,2021-06-23T00:00:00,54697,54697,2021-06-23,Paid
263,1594,2021-06-01T00:00:00,45207,45207,2021-06-01,Paid
264,1705,2021-06-01T00:00:00,434787,434787,2021-06-01,Paid
265,1380,2021-06-01T00:00:00,384426,384426,2021-06-01,Paid
266,1314,2021-06-01T00:00:00,1566759,1566759,2021-06-01,Paid
267,1306,2021-06-01T00:00:00,256908,256908,2021-06-01,Paid
268,1320,2021-06-01T00:00:00,268820,268820,2021-06-01,Paid
269,632,2021-06-18T00:00:00,46303,46303,2021-06-18,Paid
270,1662,2021-06-01T00:00:00,40757,40757,2021-06-01,Paid
271,1540,2021-06-01T00:00:00,420922,420922,2021-06-01,Paid
272,1461,2021-06-01T00:00:00,860962,860962,2021-06-01,Paid
273,1272,2021-06-01T00:00:00,1056829,1056829,2021-06-01,Paid
274,1472,2021-06-01T00:00:00,71592,71592,2021-06-01,Paid
275,1264,2021-06-01T00:00:00,65881,65881,2021-06-01,Paid
276,380,2021-06-30T00:00:00,94506,94506,2021-06-30,Paid
277,1285,2021-06-01T00:00:00,135241,135241,2021-06-01,Paid
278,1405,2021-06-01T00:00:00,155309,155309,2021-06-01,Paid
279,611,2021-06-18T00:00:00,115639,115639,2021-06-18,Paid
280,1240,2021-06-01T00:00:00,1189217,1189217,2021-06-01,Paid
281,1559,2021-06-01T00:00:00,24074,0,,Due
282,633,2021-06-21T00:00:00,55956,0,,Due
283,768,2021-06-02T00:00:00,47687,47687,2021-06-02,Paid
284,1507,2021-06-01T00:00:00,42441,0,,Due
285,1554,2021-06-01T00:00:00,82486,82486,2021-06-01,Paid
286,1696,2021-06-01T00:00:00,147493,147493,2021-06-01,Paid
287,1586,2021-06-01T00:00:00,30238,30238,2021-06-01,Paid
288,1373,2021-06-01T00:00:00,176867,176867,2021-06-01,Paid
289,1248,2021-06-01T00:00:00,2206223,2206223,2021-06-01,Paid
290,1504,2021-06-01T00:00:00,131140,0,,Due
291,420,2021-06-23T00:00:00,40595,40595,2021-06-23,Paid
292,1496,2021-06-01T00:00:00,60827,60827,2021-06-01,Paid
293,1692,2021-06-21T00:00:00,40829,40829,2021-06-21,Paid
294,1648,2021-06-01T00:00:00,52233,52233,2021-06-01,Paid
295,1706,2021-06-01T00:00:00,774604,0,,Due
296,1410,2021-06-01T00:00:00,102520,102520,2021-06-01,Paid
297,1216,2021-06-01T00:00:00,69713,69713,2021-06-01,Paid
298,839,2021-06-11T00:00:00,285032,285032,2021-06-11,Paid
299,1171,2021-06-10T00:00:00,72520,72520,2021-06-10,Paid
300,1627,2021-06-01T00:00:00,179743,179743,2021-06-01,Paid
301,952,2021-06-26T00:00:00,63959,63959,2021-06-26,Paid
302,576,2021-06-25T00:00:00,119232,119232,2021-06-25,Paid
303,1238,2021-06-01T00:00:00,189071,189071,2021-06-01,Paid
304,1108,2021-06-15T00:00:00,67534,67534,2021-06-15,Paid
305,1521,2021-06-01T00:00:00,46167,46167,2021-06-01,Paid
306,1291,2021-06-01T00:00:00,49214,49214,2021-06-01,Paid
307,1598,2021-06-01T00:00:00,170388,170388,2021-06-01,Paid
308,1611,2021-06-01T00:00:00,84647,0,,Due
309,1677,2021-06-01T00:00:00,134157,134157,2021-06-01,Paid
310,1576,2021-06-01T00:00:00,137092,137092,2021-06-01,Paid
311,1301,2021-06-01T00:00:00,143956,143956,2021-06-01,Paid
312,831,2021-06-17T00:00:00,47390,47390,2021-06-17,Paid
313,1618,2021-06-01T00:00:00,38429,38429,2021-06-01,Paid
314,1293,2021-06-01T00:00:00,110389,110389,2021-06-01,Paid
315,1655,2021-06-01T00:00:00,83018,83018,2021-06-01,Paid
316,1520,2021-06-01T00:00:00,87180,0,,Due
317,1307,2021-06-01T00:00:00,199783,199783,2021-06-01,Paid
318,1402,2021-06-01T00:00:00,245278,245278,2021-06-01,Paid
319,1503,2021-06-01T00:00:00,262038,262038,2021-06-01,Paid
320,1401,2021-06-01T00:00:00,235942,235942,2021-06-01,Paid
321,1479,2021-06-01T00:00:00,34820,34820,2021-06-01,Paid
322,1697,2021-06-01T00:00:00,54943,54943,2021-06-01,Paid
323,1398,2021-06-01T00:00:00,57822,57822,2021-06-01,Paid
324,684,2021-06-10T00:00:00,32795,32795,2021-06-10,Paid
325,1604,2021-06-14T00:00:00,49116,49116,2021-06-14,Paid
326,1225,2021-06-01T00:00:00,129342,129342,2021-06-01,Paid
327,1593,2021-06-01T00:00:00,197882,197882,2021-06-01,Paid
328,1663,2021-06-01T00:00:00,74729,74729,2021-06-01,Paid
329,1288,2021-06-01T00:00:00,72292,0,,Due
330,1399,2021-06-01T00:00:00,308650,308650,2021-06-01,Paid
331,1509,2021-06-01T00:00:00,132315,132315,2021-06-01,Paid
332,1417,2021-06-01T00:00:00,348668,348668,2021-06-01,Paid
333,1659,2021-06-01T00:00:00,135191,135191,2021-06-01,Paid
334,1342,2021-06-01T00:00:00,125887,125887,2021-06-01,Paid
335,1234,2021-06-01T00:00:00,128407,128407,2021-06-01,Paid
336,1322,2021-07-01T00:00:00,81179,81179,2021-07-01,Paid
337,1405,2021-07-01T00:00:00,155309,155309,2021-07-01,Paid
338,1293,2021-07-01T00:00:00,110389,110389,2021-07-01,Paid
339,250,2021-07-18T00:00:00,33114,33114,2021-07-18,Paid
340,379,2021-07-13T00:00:00,77192,77192,2021-07-13,Paid
341,1486,2021-07-01T00:00:00,45334,45334,2021-07-01,Paid
342,1312,2021-07-01T00:00:00,180317,0,,Due
343,1525,2021-07-01T00:00:00,50665,50665,2021-07-01,Paid
344,1659,2021-07-01T00:00:00,135191,135191,2021-07-01,Paid
345,1227,2021-07-01T00:00:00,176839,176839,2021-07-01,Paid
346,1618,2021-07-01T00:00:00,38429,0,,Due
347,1541,2021-07-01T00:00:00,48912,48912,2021-07-01,Paid
348,1706,2021-07-01T00:00:00,774604,774604,2021-07-01,Paid
349,1482,2021-07-01T00:00:00,39257,0,,Due
350,646,2021-07-04T00:00:00,47900,47900,2021-07-04,Paid
351,1674,2021-07-01T00:00:00,90898,90898,2021-07-01,Paid
352,519,2021-07-27T00:00:00,35994,35994,2021-07-27,Paid
353,1420,2021-07-01T00:00:00,70012,70012,2021-07-01,Paid
354,1336,2021-07-01T00:00:00,173091,173091,2021-07-01,Paid
355,542,2021-07-29T00:00:00,35453,35453,2021-07-29,Paid
356,1522,2021-07-23T00:00:00,54697,54697,2021-07-23,Paid
357,1460,2021-07-01T00:00:00,121681,121681,2021-07-01,Paid
358,1661,2021-07-01T00:00:00,289623,0,,Due
359,1332,2021-07-01T00:00:00,1400269,1400269,2021-07-01,Paid
360,1645,2021-07-01T00:00:00,194795,194795,2021-07-01,Paid
361,1229,2021-07-01T00:00:00,1174533,1174533,2021-07-01,Paid
362,1216,2021-07-01T00:00:00,69713,69713,2021-07-01,Paid
363,1557,2021-07-01T00:00:00,456568,456568,2021-07-01,Paid
364,1521,2021-07-01T00:00:00,46167,0,,Due
365,1483,2021-07-01T00:00:00,118162,118162,2021-07-01,Paid
366,1241,2021-07-16T00:00:00,171047,171047,2021-07-16,Paid
367,684,2021-07-10T00:00:00,32795,32795,2021-07-10,Paid
368,1311,2021-07-01T00:00:00,332906,332906,2021-07-01,Paid
369,387,2021-07-22T00:00:00,64171,0,,Due
370,1417,2021-07-01T00:00:00,348668,348668,2021-07-01,Paid
371,1793,2021-07-27T00:00:00,541720,541720,2021-07-27,Paid
372,1598,2021-07-01T00:00:00,170388,170388,2021-07-01,Paid
373,1564,2021-07-01T00:00:00,61210,61210,2021-07-01,Paid
374,1356,2021-07-01T00:00:00,116464,116464,2021-07-01,Paid
375,1662,2021-07-01T00:00:00,40757,40757,2021-07-01,Paid
376,845,2021-07-26T00:00:00,37368,37368,2021-07-26,Paid
377,715,2021-07-17T00:00:00,31022,31022,2021-07-17,Paid
378,632,2021-07-18T00:00:00,46303,46303,2021-07-18,Paid
379,1701,2021-07-01T00:00:00,68392,68392,2021-07-01,Paid
380,1220,2021-07-01T00:00:00,192592,192592,2021-07-01,Paid
381,1489,2021-07-01T00:00:00,552020,552020,2021-07-01,Paid
382,939,2021-07-28T00:00:00,111182,111182,2021-07-28,Paid
383,1221,2021-07-01T00:00:00,83398,83398,2021-07-01,Paid
384,889,2021-07-17T00:00:00,112278,0,,Due
385,1663,2021-07-01T00:00:00,74729,0,,Due
386,1708,2021-07-01T00:00:00,70361,70361,2021-07-01,Paid
387,1357,2021-07-01T00:00:00,296183,296183,2021-07-01,Paid
388,1053,2021-07-21T00:00:00,50227,0,,Due
389,541,2021-07-04T00:00:00,38318,38318,2021-07-04,Paid
390,768,2021-07-02T00:00:00,47687,47687,2021-07-02,Paid
391,1333,2021-07-01T00:00:00,256170,256170,2021-07-01,Paid
392,1429,2021-07-01T00:00:00,265066,0,,Due
393,1597,2021-07-01T00:00:00,530812,530812,2021-07-01,Paid
394,1294,2021-07-01T00:00:00,148470,0,,Due
395,1596,2021-07-01T00:00:00,80558,80558,2021-07-01,Paid
396,1273,2021-07-07T00:00:00,124664,124664,2021-07-07,Paid
397,1585,2021-07-01T00:00:00,80340,80340,2021-07-01,Paid
398,503,2021-07-19T00:00:00,31183,31183,2021-07-19,Paid
399,1246,2021-07-01T00:00:00,106710,106710,2021-07-01,Paid
400,1641,2021-07-01T00:00:00,61359,61359,2021-07-01,Paid
401,650,2021-07-16T00:00:00,364096,0,,Due
402,1665,2021-07-01T00:00:00,62838,62838,2021-07-01,Paid
403,1478,2021-07-01T00:00:00,29233,29233,2021-07-01,Paid
404,1243,2021-07-01T00:00:00,67837,67837,2021-07-01,Paid
405,1345,2021-07-01T00:00:00,1512293,1512293,2021-07-01,Paid
406,1620,2021-07-01T00:00:00,42648,42648,2021-07-01,Paid
407,1401,2021-07-01T00:00:00,235942,235942,2021-07-01,Paid
