Date,CurrencyCode,RateToAED
2021-11-01,RUB,0.9485
2021-11-01,CNY,0.6161
2021-12-01,AED,3.2975
2021-12-01,USD,0.7514
2021-12-01,INR,2.1278
2021-12-01,GBP,2.7285
2021-12-01,EUR,3.0433
2021-12-01,RUB,0.3076
2021-12-01,CNY,2.7214
2022-01-01,AED,3.154
2022-01-01,USD,2.7447
2022-01-01,INR,0.5023
2022-01-01,GBP,0.9556
2022-01-01,EUR,2.6124
2022-01-01,RUB,0.6085
2022-01-01,CNY,0.4095
2022-02-01,AED,0.5953
2022-02-01,USD,1.868
2022-02-01,INR,0.6742
2022-02-01,GBP,3.0297
2022-02-01,EUR,2.0838
2022-02-01,RUB,1.2097
2022-02-01,CNY,3.8044
2022-03-01,AED,0.9202
2022-03-01,USD,1.1684
2022-03-01,INR,2.3681
2022-03-01,GBP,0.281
2022-03-01,EUR,3.2163
2022-03-01,RUB,0.5182
2022-03-01,CNY,0.6755
2022-04-01,AED,3.1563
2022-04-01,USD,2.1676
2022-04-01,INR,0.7521
2022-04-01,GBP,0.9394
2022-04-01,EUR,2.7691
2022-04-01,RUB,2.2515
2022-04-01,CNY,1.3842
2022-05-01,AED,3.2066
2022-05-01,USD,3.5343
2022-05-01,INR,1.7133
2022-05-01,GBP,3.5582
2022-05-01,EUR,1.7329
2022-05-01,RUB,0.742
2022-05-01,CNY,2.0868
2022-06-01,AED,3.5025
2022-06-01,USD,2.2089
2022-06-01,INR,3.2794
2022-06-01,GBP,1.2401
2022-06-01,EUR,2.4967
2022-06-01,RUB,1.4587
2022-06-01,CNY,1.1678
2022-07-01,AED,2.1139
2022-07-01,USD,3.8209
2022-07-01,INR,0.6192
2022-07-01,GBP,1.3724
2022-07-01,EUR,2.2169
2022-07-01,RUB,1.5117
2022-07-01,CNY,1.6549
2022-08-01,AED,1.3338
2022-08-01,USD,2.2216
2022-08-01,INR,2.3129
2022-08-01,GBP,1.3015
2022-08-01,EUR,3.4934
2022-08-01,RUB,1.9743
2022-08-01,CNY,0.2996
2022-09-01,AED,3.8373
2022-09-01,USD,1.5269
2022-09-01,INR,3.2871
2022-09-01,GBP,1.0184
2022-09-01,EUR,3.7861
2022-09-01,RUB,3.0358
2022-09-01,CNY,1.8746
2022-10-01,AED,3.3501
2022-10-01,USD,0.5305
2022-10-01,INR,0.6324
2022-10-01,GBP,1.6452
2022-10-01,EUR,2.3436
2022-10-01,RUB,1.9966
2022-10-01,CNY,3.5026
2022-11-01,AED,1.6597
2022-11-01,USD,1.9622
2022-11-01,INR,3.7119
2022-11-01,GBP,3.44
2022-11-01,EUR,3.1045
2022-11-01,RUB,2.8104
2022-11-01,CNY,3.5282
2022-12-01,AED,0.6504
2022-12-01,USD,2.5746
2022-12-01,INR,0.7193
2022-12-01,GBP,3.4666
2022-12-01,EUR,2.7456
2022-12-01,RUB,2.2391
2022-12-01,CNY,3.4188
2023-01-01,AED,1.4948
2023-01-01,USD,2.7493
2023-01-01,INR,1.9739
2023-01-01,GBP,2.6817
2023-01-01,EUR,2.2108
2023-01-01,RUB,1.8036
2023-01-01,CNY,2.3777
2023-02-01,AED,3.4543
2023-02-01,USD,1.5883
2023-02-01,INR,3.8685
2023-02-01,GBP,1.9222
2023-02-01,EUR,0.4473
2023-02-01,RUB,1.9536
2023-02-01,CNY,2.8552
2023-03-01,AED,3.118
2023-03-01,USD,2.3735
2023-03-01,INR,0.4538
2023-03-01,GBP,1.1111
2023-03-01,EUR,2.368
2023-03-01,RUB,1.2668
2023-03-01,CNY,2.6422
2023-04-01,AED,0.6854
2023-04-01,USD,0.8903
2023-04-01,INR,3.9339
2023-04-01,GBP,1.2909
2023-04-01,EUR,1.5856
2023-04-01,RUB,2.283
2023-04-01,CNY,3.4858
2023-05-01,AED,0.819
2023-05-01,USD,2.6404
2023-05-01,INR,2.3822
2023-05-01,GBP,2.2307
2023-05-01,EUR,1.0301
2023-05-01,RUB,3.7895
2023-05-01,CNY,1.2012
2023-06-01,AED,3.0762
2023-06-01,USD,2.4063
2023-06-01,INR,3.4191
2023-06-01,GBP,3.4207
2023-06-01,EUR,1.7181
2023-06-01,RUB,2.9562
2023-06-01,CNY,3.9617
2023-07-01,AED,2.6644
2023-07-01,USD,3.099
2023-07-01,INR,1.5391
2023-07-01,GBP,2.1478
2023-07-01,EUR,2.947
2023-07-01,RUB,3.6577
2023-07-01,CNY,3.7991
2023-08-01,AED,0.6574
2023-08-01,USD,0.7652
2023-08-01,INR,1.8607
2023-08-01,GBP,0.2758
2023-08-01,EUR,1.7765
2023-08-01,RUB,2.9824
2023-08-01,CNY,2.0144
2023-09-01,AED,2.9675
2023-09-01,USD,2.4323
2023-09-01,INR,2.9051
2023-09-01,GBP,0.2477
2023-09-01,EUR,2.4049
2023-09-01,RUB,1.4594
2023-09-01,CNY,3.6308
2023-10-01,AED,1.9524
2023-10-01,USD,1.5617
2023-10-01,INR,0.3318
2023-10-01,GBP,2.6915
2023-10-01,EUR,0.9553
2023-10-01,RUB,3.9535
2023-10-01,CNY,1.2002
2023-11-01,AED,2.3019
2023-11-01,USD,0.9382
2023-11-01,INR,1.3096
2023-11-01,GBP,3.8772
2023-11-01,EUR,1.563
2023-11-01,RUB,3.9646
2023-11-01,CNY,0.9419
2023-12-01,AED,1.8971
2023-12-01,USD,1.0695
2023-12-01,INR,1.213
2023-12-01,GBP,2.8104
2023-12-01,EUR,2.8486
2023-12-01,RUB,1.876
2023-12-01,CNY,2.0406
2024-01-01,AED,3.5143
2024-01-01,USD,1.7599
2024-01-01,INR,2.3658
2024-01-01,GBP,1.5745
2024-01-01,EUR,2.5279
2024-01-01,RUB,0.7993
2024-01-01,CNY,3.1379
2024-02-01,AED,1.6357
2024-02-01,USD,2.4609
2024-02-01,INR,3.7266
2024-02-01,GBP,3.8917
2024-02-01,EUR,0.5345
2024-02-01,RUB,2.384
2024-02-01,CNY,0.2533
2024-03-01,AED,1.2917
2024-03-01,USD,3.1244
2024-03-01,INR,3.9992
2024-03-01,GBP,3.7005
2024-03-01,EUR,2.3045
2024-03-01,RUB,2.3271
2024-03-01,CNY,2.7693
2024-04-01,AED,2.3043
2024-04-01,USD,2.8522
2024-04-01,INR,1.1994
2024-04-01,GBP,0.7283
2024-04-01,EUR,1.128
2024-04-01,RUB,0.5831
2024-04-01,CNY,2.633
2024-05-01,AED,0.2826
2024-05-01,USD,1.994
2024-05-01,INR,2.0802
2024-05-01,GBP,2.7051
2024-05-01,EUR,2.8834
2024-05-01,RUB,1.2732
2024-05-01,CNY,1.4132
2024-06-01,AED,1.6147
2024-06-01,USD,1.5973
2024-06-01,INR,1.1193
2024-06-01,GBP,1.3128
2024-06-01,EUR,2.1471
2024-06-01,RUB,3.4483
2024-06-01,CNY,1.6523
2024-07-01,AED,1.359
2024-07-01,USD,2.9053
2024-07-01,INR,2.2005
2024-07-01,GBP,0.267
2024-07-01,EUR,0.9968
2024-07-01,RUB,1.5486
2024-07-01,CNY,3.7419
2024-08-01,AED,1.9744
2024-08-01,USD,1.1479
2024-08-01,INR,0.5124
2024-08-01,GBP,1.6587
2024-08-01,EUR,1.9833
2024-08-01,RUB,0.9685
2024-08-01,CNY,3.2779
2024-09-01,AED,3.5734
2024-09-01,USD,2.4078
2024-09-01,INR,2.2029
2024-09-01,GBP,2.5305
2024-09-01,EUR,1.0116
2024-09-01,RUB,1.5677
2024-09-01,CNY,1.5374
2024-10-01,AED,0.9148
2024-10-01,USD,1.8575
2024-10-01,INR,0.6585
2024-10-01,GBP,3.7213
2024-10-01,EUR,0.8239
2024-10-01,RUB,3.483
2024-10-01,CNY,3.4786
2024-11-01,AED,2.8229
2024-11-01,USD,3.7826
2024-11-01,INR,2.2284
2024-11-01,GBP,3.4051
2024-11-01,EUR,3.1192
2024-11-01,RUB,3.2398
2024-11-01,CNY,2.3486
